id,id_client,id_product,qtd,total,sale_date,name,actual_category,price,full_name,cidade,estado,custo_atual_usd
0,42,105,11,3405.0,2023-09-10,Cabo De Nylon Danforth Prime,Ancoragem,309.54,Márcia Figueiredo,Vila Do Conde,PA,53.37
1,3,136,9,16873.9,2024-09-15,Cabo De Nylon Bruce Flux Hydro,Ancoragem,1973.5,Daniel Farias Ribeiro Teixeira,Rio Grande,RS,390.62
2,25,139,7,9475.3,2024-08-13,Boia De Arqueamento Danforth Torque,Ancoragem,1424.88,Femininos Antunes Lopes Ribeiro Amaral,São Mateus,ES,246.89
4,20,23,5,55893.0,2023-02-03,Piloto Automático Furuno Torque Peak,Eletronicos,11178.63,Bruno Silva,Santarém Novo,PA,2244.66
5,8,57,4,451403.9,2024-02-12,Motor De Popa Honda Vector Kinetic 174Hp,Propulsao,118790.57,Luiz Alves Pimentel,Aracaju,SE,20486.78
6,36,52,3,39056.4,2023-09-26,Motor Diesel Honda Zen Tidal Mako 26Hp,Propulsao,13704.1,Francisca Ribeiro Pinheiro,Belém,PA,2588.32
8,27,25,3,34560.05,2024-02-28,Rádio Lowrance Nitro Thrust Barracuda,Eletronicos,12126.46,Flávia Nunes Martins Ribeiro Coelho,Salvador,BA,2204.09
9,37,26,7,114932.9,2023-11-07,Piloto Automático Furuno Core Boost Flux,Eletronicos,17283.18,Jéssica Pimentel Borges Nunes Teixeira,Itaqui,MA,3210.1
10,31,143,3,12643.55,2024-08-25,Âncora Delta Hydra Kraken Velocity,Ancoragem,4436.43,Jéssica Figueiredo Leite Martins,São Luís,MA,836.16
11,39,128,5,23254.0,2023-05-07,Boia De Arqueamento Bruce Marlin Hydra,Ancoragem,4650.72,Renata Oliveira Siqueira,Suape,PE,850.07
12,27,48,13,191573.0,2024-07-29,Gps Furuno Magnum Drift,Eletronicos,14736.35,Flávia Nunes Martins Ribeiro Coelho,Salvador,BA,2715.28
13,43,19,2,31221.75,2024-04-28,Sonda Lowrance Tidal Storm Vox,Eletronicos,16432.35,Jéssica Farias Cunha,Itaqui,MA,2847.65
14,13,125,15,48479.45,2024-05-06,Cabo De Nylon Danforth Kinetic,Ancoragem,3402.07,Carlos Guimarães Martins,Santarém,PA,646.27
15,17,14,3,102061.35,2023-10-14,Rádio Furuno Zen Swift,Eletronicos,35811.08,Luís Paiva Costa Cardoso Coelho,Corumbá,MS,6549.93
16,39,45,2,18816.65,2024-10-07,Gps Furuno Current,Eletronicos,9903.71,Renata Oliveira Siqueira,Suape,PE,1750.24
17,43,91,11,1409558.7,2023-09-05,Motor Elétrico Tohatsu Zenith Oceanic 113Hp,Propulsao,134886.02,Jéssica Farias Cunha,Itaqui,MA,27671.77
18,25,27,3,47057.3,2024-11-28,Gps Garmin Vortex Maré Drift,Eletronicos,16511.45,Femininos Antunes Lopes Ribeiro Amaral,São Mateus,ES,3026.01
19,37,100,2,198740.0,2023-07-16,Motor Elétrico Honda Vector Abyss 220Hp,Propulsao,104600.24,Jéssica Pimentel Borges Nunes Teixeira,Itaqui,MA,19604.58
20,39,56,12,490071.75,2024-11-27,Motor Elétrico Torqeedo Velocity Swift 74Hp,Propulsao,42988.77,Renata Oliveira Siqueira,Suape,PE,7374.35
21,17,71,3,390522.0,2024-12-04,Motor Elétrico Torqeedo Pulse 300Hp,Propulsao,130174.06,Luís Paiva Costa Cardoso Coelho,Corumbá,MS,23100.17
22,29,20,2,61667.0,2024-11-04,Radar Ais Marlin,Eletronicos,30833.44,Gabriela Moraes Macedo Nunes,Fortaleza,CE,5689.04
23,7,132,15,23445.0,2023-02-04,Corrente Bruce Nautic Evo,Ancoragem,1562.97,Bianca Barros Rocha Torres Siqueira,Cabedelo,PB,282.75
24,45,128,12,55809.0,2023-05-09,Boia De Arqueamento Bruce Marlin Hydra,Ancoragem,4650.72,Amanda Santos Figueiredo Rodrigues Siqueira,Santarém,PA,850.07
25,8,3,2,18048.0,2024-02-04,Radar Furuno Pulse Leviathan,Eletronicos,9024.19,Luiz Alves Pimentel,Aracaju,SE,1753.77
26,19,147,14,40299.95,2024-05-10,Corrente Danforth Force Leviathan Impulse,Ancoragem,3030.08,Renata Lima Gomes Coelho Mendonça,Maceió,AL,592.19
